name,calories,protein,carbs,fat,sugar,sodium,saturated_fat,fiber
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78.0,2.99,12.13,1.9,9.55,66.0,1.177,0.0
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105.0,4.86,18.6,1.41,2.9,58.0,0.909,0.0
"CHEESE,PARMESAN,DRY GRATED,RED FAT",265.0,20.0,1.37,20.0,0.0,1529.0,13.317,0.0
"CREAM SUB,FLAV,LIQ",251.0,0.69,35.07,13.5,33.04,80.0,2.635,0.0
"CREAM SUB,FLAV,PDR",498.0,0.68,75.42,21.47,58.01,196.0,19.463,0.0
"CHEESE,PROVOLONE,RED FAT",274.0,24.7,3.5,17.6,0.55,876.0,11.3,0.0
"CHEESE,MEXICAN,BLEND,RED FAT",282.0,24.69,3.41,19.4,0.56,776.0,11.58,0.0
"EGG MIX,USDA CMDTY",555.0,35.6,23.97,34.5,2.46,576.0,10.305,0.0
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61.0,3.15,4.78,3.27,5.05,43.0,1.865,0.0
"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496.0,26.32,38.42,26.71,38.42,371.0,16.742,0.0
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135.0,6.81,10.04,7.56,10.04,106.0,4.591,0.0
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240.0,17.6,10.6,14.1,8.02,1587.0,8.85,0.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99.0,3.98,18.64,1.15,18.64,53.0,0.742,0.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102.0,4.37,19.05,1.08,19.05,58.0,0.697,0.0
"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95.0,4.4,19.0,0.2,19.0,58.0,0.119,0.0
"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105.0,4.86,18.6,1.41,2.9,58.0,0.909,0.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85.0,4.93,13.8,1.25,13.8,66.0,0.806,0.0
"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",43.0,3.86,7.5,0.18,7.5,59.0,0.116,0.0
"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112.0,3.53,23.53,0.0,14.97,135.0,0.0,0.0
"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411.0,35.62,18.5,17.14,5.71,329.0,1.553,0.0
"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396.0,35.62,22.0,12.0,4.0,250.0,1.087,0.0
DULCE DE LECHE,315.0,6.84,55.35,7.35,49.74,129.0,4.534,0.0
"EGG SUB,LIQ OR FRZ,FAT FREE",48.0,10.0,2.0,0.0,2.0,199.0,0.0,0.0
"CHEESE,DRY WHITE,QUESO SECO",325.0,24.51,2.04,24.35,0.55,1808.0,13.718,0.0
"CHEESE,FRSH,QUESO FRESCO",299.0,18.09,2.98,23.82,2.32,751.0,12.94,0.0
"CHEESE,WHITE,QUESO BLANCO",310.0,20.38,2.53,24.31,1.76,704.0,13.661,0.0
"MILK,BTTRMLK,FLUID,WHL",62.0,3.21,4.88,3.31,4.88,105.0,1.899,0.0
"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",86.0,4.93,13.8,1.25,5.43,66.0,0.752,0.0
"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",104.0,4.4,19.7,0.8,12.61,81.0,0.488,0.0
"ICE CRM,SOFT SERVE,CHOC",222.0,4.1,22.2,13.0,21.16,61.0,7.46,0.0
"ICE CRM,BAR OR STK,CHOC COVERED",331.0,4.1,24.5,24.1,18.3,68.0,13.202,0.0
ICE CRM SNDWCH,237.0,4.29,37.14,8.57,18.57,129.0,2.317,0.0
ICE CRM COOKIE SNDWCH,240.0,3.7,39.6,7.4,21.3,162.0,1.663,0.0
"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354.0,5.21,34.38,21.88,25.0,94.0,11.458,0.0
"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186.0,4.29,39.64,3.04,17.86,146.0,0.821,0.0
"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200.0,5.71,42.86,2.86,6.58,164.0,0.821,0.0
"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129.0,4.41,27.94,0.0,8.82,110.0,0.0,0.0
"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",147.0,4.41,33.09,1.47,22.06,92.0,0.81,0.0
"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",88.0,4.4,11.88,3.08,2.64,92.0,0.232,0.0
"CHEESE,MEXICAN BLEND",358.0,23.54,1.75,28.51,1.23,696.0,17.027,0.0
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310.0,18.18,8.52,22.63,6.57,1272.0,13.291,0.0
"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371.0,18.13,3.7,31.79,2.26,1671.0,18.057,0.0
"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",330.0,16.86,8.56,25.63,5.59,1284.0,15.057,0.0
"EGG,WHL,RAW,FRZ,SALTED",138.0,10.97,0.83,10.07,0.07,2060.149999999986,3.178,0.0
"SPICES,BASIL,DRIED",233.0,22.98,47.75,4.07,1.71,76.0,2.157,0.0
CARAWAY SEED,333.0,19.77,49.9,14.59,0.64,17.0,0.62,0.0
CELERY SEED,392.0,18.07,41.35,25.27,0.67,160.0,2.19,0.0
CHILI POWDER,282.0,13.46,49.7,14.28,7.19,1640.0,2.462,0.0
"CINNAMON,GROUND",247.0,3.99,80.59,1.24,2.17,10.0,0.345,0.0
"CLOVES,GROUND",274.0,5.97,65.53,13.0,2.38,277.0,3.952,0.0
"CORIANDER LEAF,DRIED",279.0,21.93,52.1,4.78,7.27,211.0,0.115,0.0
CUMIN SEED,375.0,17.81,44.24,22.27,2.25,168.0,1.535,0.0
CURRY POWDER,325.0,12.66,58.15,13.81,2.76,52.0,2.237,0.0
GARLIC POWDER,331.0,16.55,72.73,0.73,2.43,60.0,0.249,0.0
"GINGER,GROUND",335.0,8.98,71.62,4.24,3.39,27.0,2.599,0.0
"MARJORAM,DRIED",271.0,12.66,60.56,7.04,4.09,77.0,0.529,0.0
"SPICES,MUSTARD SD,GROUND",508.0,26.08,28.09,36.24,6.79,13.0,1.989,0.0
"NUTMEG,GROUND",525.0,5.84,49.29,36.31,28.49,16.0,25.94,0.0
ONION POWDER,341.0,10.41,79.12,1.04,6.63,73.0,0.219,0.0
"SPICES,OREGANO,DRIED",265.0,9.0,68.92,4.28,4.09,25.0,1.551,0.0
PAPRIKA,282.0,14.14,53.99,12.89,10.34,68.0,2.14,0.0
"PARSLEY,DRIED",292.0,26.63,50.64,5.48,7.27,452.0,1.378,0.0
"PEPPER,BLACK",251.0,10.39,63.95,3.26,0.64,20.0,1.392,0.0
"PEPPER,RED OR CAYENNE",318.0,12.01,56.63,17.27,10.34,30.0,3.26,0.0
POPPY SEED,525.0,17.99,28.13,41.56,2.99,26.0,4.517,0.0
POULTRY SEASONING,307.0,9.59,65.59,7.53,3.08,27.0,3.29,0.0
PUMPKIN PIE SPICE,342.0,5.76,69.28,12.6,7.76,52.0,6.53,0.0
"SAGE,GROUND",315.0,10.63,60.73,12.75,1.71,11.0,7.03,0.0
"SPICES,THYME,DRIED",276.0,9.11,63.94,7.43,1.71,55.0,2.73,0.0
"TURMERIC,GROUND",354.0,7.83,64.93,9.88,3.21,38.0,3.12,0.0
"BASIL,FRESH",23.0,3.15,2.65,0.64,0.3,4.0,0.041,0.0
"MUSTARD,PREPARED,YELLOW",67.0,4.37,5.33,4.01,0.86,1135.0,0.248,0.0
"VINEGAR,CIDER",21.0,0.0,0.93,0.0,0.4,5.0,0.0,0.0
VANILLA EXTRACT,288.0,0.06,12.65,0.06,12.65,9.0,0.01,0.0
"VANILLA EXTRACT,IMITN,NO ALCOHOL",56.0,0.03,14.4,0.0,14.4,3.0,0.0,0.0
"VINEGAR,DISTILLED",18.0,0.0,0.04,0.0,0.04,2.0,0.0,0.0
"CAPERS,CANNED",23.0,2.36,4.89,0.86,0.41,2060.149999999986,0.233,0.0
"HORSERADISH,PREPARED",48.0,1.18,11.29,0.69,7.99,314.0,0.09,0.0
"VINEGAR,RED WINE",19.0,0.04,0.27,0.0,0.0,8.0,0.0,0.0
"VINEGAR,BALSAMIC",88.0,0.49,17.03,0.0,14.95,23.0,0.0,0.0
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",188.0,0.0,56.29,0.0,18.76,2060.149999999986,0.0,0.0
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,330.0,0.82,76.61,2.24,68.65,14.0,0.361,0.0
ZWIEBACK,426.0,10.1,74.2,9.7,12.5,227.0,2.525,0.0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483.0,16.5,54.8,22.0,54.0,260.0,19.186,0.0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88.0,3.33,8.57,4.48,7.4,52.0,3.953,0.0
"In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",514.0,12.5,56.0,27.0,51.0,173.0,11.37,0.0
"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",99.0,2.86,11.15,4.77,10.5,36.0,1.256,0.0
"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",99.0,2.8,11.28,4.7,7.6,36.0,1.256,0.0
"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64.0,1.78,7.18,3.63,7.18,25.0,1.55,0.0
"FAT,BEEF TALLOW",884.0,0.0,0.0,100.0,0.0,0.0,28.470739999999992,0.0
LARD,884.0,0.0,0.0,100.0,0.0,0.0,28.470739999999992,0.0
"SALAD DRSNG,KRAFT MAYO LT MAYO",334.0,0.6,8.5,32.9,4.2,633.0,5.0,0.0
